id;Наименование прокуратуры (SV-0001);REGION;Телефон канцелярии (SV-0004);Электронный адрес канцелярии(SV-0005);Адрес приемной(SV-0006);OKATO;CODE;autokey
5;Барнаульская транспортная прокуратура Западно-Сибирской транспортной прокуратуры;Алтайский край;8 (385-2) 38-05-52;barnaul.tp@790.mailop.ru;656015, Алтайский край, г. Барнаул, ул. Молодежная, д.26;1;382604670;FED_GENPROK_ORGANIZATION_5
29;Прокуратура Индустриального района г. Барнаула Алтайского края;Алтайский край;8 (3852) 310965;industrial@22.mailop.ru;656022, Алтайский край, г.Барнаул, ул. Новосибирская, 1а;1;382737917;FED_GENPROK_ORGANIZATION_29
24;Прокуратура Железнодорожного района г. Барнаула Алтайского края;Алтайский край;8 (3852) 203-250;jelezdor@22.mailop.ru;656031, Алтайский край, г.Барнаул, ул. Крупской, 99А;1;382735776;FED_GENPROK_ORGANIZATION_24
39;Прокуратура Ленинского района г. Барнаула Алтайского края;Алтайский край;8 (3852) 44-16-16, 44-14-56;lenina@22.mailop.ru;656039, Алтайский край, г.Барнаул, ул. Советской Армии, 162;1;382748411;FED_GENPROK_ORGANIZATION_39
45;Прокуратура Октябрьского района г. Барнаула Алтайского края;Алтайский край;8 (3852) 66-95-94;oktyab@22.mailop.ru;656049, Алтайский край, г.Барнаул, пр-кт Комсомольский, 120;1;382750771;FED_GENPROK_ORGANIZATION_45
70;Прокуратура Целинного района Алтайского края;Алтайский край;8 (38596) 21576;celinnoe@22.mailop.ru;656056, Алтайский край ,Целинный р-н, с.Целинное, ул. Ленина, 17;1;382814969;FED_GENPROK_ORGANIZATION_70
71;Прокуратура Центрального района г. Барнаула Алтайского края;Алтайский край;8 (3852) 201-511;central@22.mailop.ru;656056, Алтайский край, г.Барнаул, ул. Л. Толстого, 17;1;382815656;FED_GENPROK_ORGANIZATION_71
16;Прокуратура г. Барнаула Алтайского края;Алтайский край;8 (3852) 665269;barnaul@22.mailop.ru;656056, Алтайский край, г.Барнаул, ул. Никитина, 28;1;382732674;FED_GENPROK_ORGANIZATION_16
9;Прокуратура Алтайского края ;Алтайский край;8 (3852) 222-079;priem@22.mailop.ru;656059, Алтайский край, Барнаул , Партизанская, 71 ;1;359971335;FED_GENPROK_ORGANIZATION_9
2;Алтайская межрайонная природоохранная прокуратура Алтайского края ;Алтайский край;8 (3852) 46-14-40;nature@22.mailop.ru;656066, Алтайский край, г.Барнаул, Павловский тракт, 118;1;382729398;FED_GENPROK_ORGANIZATION_2
4;Барнаульская прокуратура по надзору за соблюдением законов в исправительных учреждениях прокуратуры Алтайского края;Алтайский край;8 (3852) 423441;itubarnaul@22.mailop.ru;656066, Алтайский край, г.Барнаул, ул. 50 лет СССР, 27а;1;382729876;FED_GENPROK_ORGANIZATION_4
3;Алтайская прокуратура по надзору за исполнением законов на особо режимных объектах Алтайского края ;Алтайский край;8 (3852) 424643;orobarnaul@22.mailop.ru;656066, Алтайский край, г.Барнаул, ул. 50 лет СССР, 27а;1;382729705;FED_GENPROK_ORGANIZATION_3
60;Прокуратура Тальменского района Алтайского края;Алтайский край;8 (38591) 22370;talmenka@22.mailop.ru;658030, Алтайский край, Тальменский р-н, р.п.Тальменка, ул. Партизанская, 70;1;382809141;FED_GENPROK_ORGANIZATION_60
48;Прокуратура Первомайского района Алтайского края;Алтайский край;8 (38532) 23245;pervomaiskiy@22.mailop.ru;658080, Алтайский край, г.Новоалтайск, ул. Деповская, 44;1;382751599;FED_GENPROK_ORGANIZATION_48
20;Прокуратура г. Новоалтайска Алтайского края;Алтайский край;8 (38532) 20431;novoalt@22.mailop.ru;658080, Алтайский край, г.Новоалтайск, ул. Красногвардейская, 8;1;382734382;FED_GENPROK_ORGANIZATION_20
1;Алейская межрайонная прокуратура Алтайского края;Алтайский край;8 (38553)22386;aleysk@22.mailop.ru;658130, Алтайский край, г.Алейск, ул. Первомайская, 86;1;382729173;FED_GENPROK_ORGANIZATION_1
67;Прокуратура Усть-Калманского района Алтайского края;Алтайский край;8 (38599) 22376;ustkalmanka@22.mailop.ru;658150, Алтайский край, Усть-Калманский р-н, с.Усть-Калманка, ул. Горького, 59;1;382812567;FED_GENPROK_ORGANIZATION_67
72;Прокуратура Чарышского района Алтайского края;Алтайский край;8 (38574) 22376;charishskoe@22.mailop.ru;658170, Алтайский край, Чарышский р-н, с.Чарышское, ул. Центральная, 39;1;382815945;FED_GENPROK_ORGANIZATION_72
75;Рубцовская прокуратура по надзору за соблюдением законов в исправительных учреждениях Алтайского края;Алтайский край;8 (38557) 36372;iturubcovsk@22.mailop.ru;658200, Алтайский край, г.Рубцовск, ул. Громова, 34а;1;382817246;FED_GENPROK_ORGANIZATION_75
21;Прокуратура г. Рубцовска Алтайского края;Алтайский край;8 (38557) 94641;rubcovsk@22.mailop.ru;658200, Алтайский край, г.Рубцовск, ул. Громова, 34а;1;382734703;FED_GENPROK_ORGANIZATION_21
54;Прокуратура Рубцовского района Алтайского края;Алтайский край;8 (38557) 36372;rubchovskray@22.mailop.ru;658200, Алтайский край, г.Рубцовск, ул. Карла Маркса, 184;1;382808589;FED_GENPROK_ORGANIZATION_54
76;Рубцовская транспортная прокуратура Западно-Сибирской транспортной прокуратуры;Алтайский край;8 (385-57) 946-82;rubczovsk.tp@790.mailop.ru;658224, Алтайский край, г. Рубцовск, ул. Ленина, д.62, оф.66;1;382606878;FED_GENPROK_ORGANIZATION_76
